SENTENCE_ID,POLARITY,SUBJECTIVEITY,SENTENCE,STRONG OPINION
0,0.48888888888888893,0.6077777777777778,"I am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation.Five score years ago, a great American, in whose symbolic shadow we stand today, signed the Emancipation Proclamation.",0
1,0.6000000000000001,0.725,This momentous decree came as a great beacon light of hope to millions of Negro slaves who had been seared in the flames of withering injustice.,0
2,-0.05,0.4,It came as a joyous daybreak to end the long night of their captivity.,0
3,-0.1,0.4,"But one hundred years later, the Negro still is not free.",0
4,-0.25,0.5,"One hundred years later, the life of the Negro is still sadly crippled by the manacles of segregation and the chains of discrimination.",0
5,-0.033333333333333326,0.5666666666666667,"One hundred years later, the Negro lives on a lonely island of poverty in the midst of a vast ocean of material prosperity.",0
6,0.19999999999999998,0.3333333333333333,"One hundred years later, the Negro is still languishing in the corners of American society and finds himself an exile in his own land.",0
7,0.0,0.0,So we have come here today to dramatize a shameful condition.,0
8,0.0,0.0,In a sense we have come to our nation’s capital to cash a check.,0
9,0.5,0.5,"When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence, they were signing a promissory note to which every American was to fall heir.",0
10,0.17777777777777778,0.2111111111111111,"This note was a promise that all men, yes, black men as well as white men, would be guaranteed the unalienable rights of life, liberty, and the pursuit of happiness.",0
11,0.0,0.5,It is obvious today that America has defaulted on this promissory note insofar as her citizens of color are concerned.,0
12,-0.19999999999999996,0.4222222222222222,"Instead of honoring this sacred obligation, America has given the Negro people a bad check, a check which has come back marked “insufficient funds.” But we refuse to believe that the bank of justice is bankrupt.",0
13,0.8,0.75,We refuse to believe that there are insufficient funds in the great vaults of opportunity of this nation.,1
14,0.0,0.0,So we have come to cash this check — a check that will give us upon demand the riches of freedom and the security of justice.,0
15,0.0,0.0,We have also come to this hallowed spot to remind America of the fierce urgency of now.,0
16,0.0,0.0,This is no time to engage in the luxury of cooling off or to take the tranquilizing drug of gradualism.,0
17,0.2,0.30000000000000004,Now is the time to make real the promises of democracy.,0
18,-0.15,0.4,Now is the time to rise from the dark and desolate valley of segregation to the sunlit path of racial justice.,0
19,0.16666666666666666,0.3,Now is the time to lift our nation from the quick sands of racial injustice to the solid rock of brotherhood.,0
20,0.0,0.0,Now is the time to make justice a reality for all of God’s children.It would be fatal for the nation to overlook the urgency of the moment.,0
21,0.0,0.0,This sweltering summer of the Negro’s legitimate discontent will not pass until there is an invigorating autumn of freedom and equality.,0
22,0.0,0.0,"Nineteen sixty-three is not an end, but a beginning.",0
23,-0.275,0.425,Those who hope that the Negro needed to blow off steam and will now be content will have a rude awakening if the nation returns to business as usual.,0
24,0.0,0.0,There will be neither rest nor tranquility in America until the Negro is granted his citizenship rights.,0
25,0.7000000000000001,0.7999999999999999,The whirlwinds of revolt will continue to shake the foundations of our nation until the bright day of justice emerges.,1
26,0.6,0.6,But there is something that I must say to my people who stand on the warm threshold which leads into the palace of justice.,0
27,-0.5,1.0,In the process of gaining our rightful place we must not be guilty of wrongful deeds.,0
28,0.0,0.0,Let us not seek to satisfy our thirst for freedom by drinking from the cup of bitterness and hatred.,0
29,0.16,0.5399999999999999,We must forever conduct our struggle on the high plane of dignity and discipline.,0
30,0.25,0.5714285714285714,We must not allow our creative protest to degenerate into physical violence.,0
31,0.0,0.14285714285714285,Again and again we must rise to the majestic heights of meeting physical force with soul force.,0
32,0.32727272727272727,0.39090909090909093,"The marvelous new militancy which has engulfed the Negro community must not lead us to a distrust of all white people, for many of our white brothers, as evidenced by their presence here today, have come to realize that their destiny is tied up with our destiny.",0
33,0.0,0.0,They have come to realize that their freedom is inextricably bound to our freedom.,0
34,0.0,0.0,We cannot walk alone.,0
35,0.0,0.0,"As we walk, we must make the pledge that we shall always march ahead.",0
36,0.0,0.0,We cannot turn back.,0
37,0.21875,0.6124999999999999,"There are those who are asking the devotees of civil rights, “When will you be satisfied?” We can never be satisfied as long as the Negro is the victim of the unspeakable horrors of police brutality.",0
38,0.08333333333333333,0.6333333333333333,"We can never be satisfied, as long as our bodies, heavy with the fatigue of travel, cannot gain lodging in the motels of the highways and the hotels of the cities.",0
39,0.09,0.505,We cannot be satisfied as long as the Negro’s basic mobility is from a smaller ghetto to a larger one.,0
40,0.15,0.7999999999999999,We can never be satisfied as long as our children are stripped of their selfhood and robbed of their dignity by signs stating “For Whites Only”.,0
41,0.19545454545454546,0.6181818181818182,We cannot be satisfied as long as a Negro in Mississippi cannot vote and a Negro in New York believes he has nothing for which to vote.,0
42,0.12361111111111112,0.7972222222222222,"No, no, we are not satisfied, and we will not be satisfied until justice rolls down like waters and righteousness like a mighty stream.",0
43,0.8,0.75,I am not unmindful that some of you have come here out of great trials and tribulations.,1
44,-9.25185853854297e-18,0.3,Some of you have come fresh from narrow jail cells.,0
45,0.0,0.0,Some of you have come from areas where your quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality.,0
46,0.5,1.0,You have been the veterans of creative suffering.,0
47,0.0,0.0,Continue to work with the faith that unearned suffering is redemptive.,0
48,0.0,0.0,"Go back to Mississippi, go back to Alabama, go back to South Carolina, go back to Georgia, go back to Louisiana, go back to the slums and ghettos of our northern cities, knowing that somehow this situation can and will be changed.",0
49,0.0,0.0,Let us not wallow in the valley of despair.,0
50,0.0,0.0,"I say to you today, my friends, so even though we face the difficulties of today and tomorrow, I still have a dream.",0
51,0.0,0.2,It is a dream deeply rooted in the American dream.,0
